"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","29-Aug-2017","       7579.00","       7565.00","       7575.55","       7495.05","       7507.85","       7521.50","       7528.80","     368309","          2772923688.65","      44461","     179324","         48.69"
"MARUTI","EQ","30-Aug-2017","       7521.50","       7603.00","       7639.35","       7532.50","       7559.90","       7557.45","       7580.64","     471048","          3570846999.40","      66653","     210250","         44.63"
"MARUTI","EQ","31-Aug-2017","       7557.45","       7564.90","       7720.40","       7532.00","       7720.00","       7700.30","       7654.15","     586954","          4492634864.65","      58236","     251970","         42.93"
"MARUTI","EQ","01-Sep-2017","       7700.30","       7747.50","       7834.90","       7730.00","       7807.00","       7812.30","       7800.66","     627407","          4894185802.50","      56655","     219393","         34.97"
"MARUTI","EQ","04-Sep-2017","       7812.30","       7840.00","       7876.00","       7756.75","       7804.95","       7821.50","       7822.24","     362724","          2837314016.50","      33764","      67830","         18.70"
"MARUTI","EQ","05-Sep-2017","       7821.50","       7843.00","       7855.95","       7801.00","       7817.00","       7817.20","       7828.47","     182518","          1428836167.80","      20755","      62635","         34.32"
"MARUTI","EQ","06-Sep-2017","       7817.20","       7800.00","       7904.00","       7770.00","       7851.35","       7846.65","       7849.13","     340420","          2672001273.20","      31039","      76899","         22.59"
"MARUTI","EQ","07-Sep-2017","       7846.65","       7888.00","       7949.00","       7858.50","       7920.00","       7919.20","       7915.91","     389478","          3083071578.65","      43184","     153101","         39.31"
"MARUTI","EQ","08-Sep-2017","       7919.20","       7940.45","       7979.75","       7892.00","       7968.00","       7970.75","       7951.99","     341309","          2714085580.10","      38432","      98137","         28.75"
"MARUTI","EQ","11-Sep-2017","       7970.75","       8000.00","       8168.00","       8000.00","       8144.00","       8142.40","       8108.94","     547463","          4439345930.90","      53484","     220154","         40.21"
"MARUTI","EQ","12-Sep-2017","       8142.40","       8192.00","       8192.00","       8116.00","       8136.30","       8154.50","       8157.53","     387447","          3160611115.65","      33808","     166881","         43.07"
"MARUTI","EQ","13-Sep-2017","       8154.50","       8161.90","       8200.00","       8100.15","       8110.45","       8122.60","       8151.60","     371832","          3031024979.30","      34721","     203726","         54.79"
"MARUTI","EQ","14-Sep-2017","       8122.60","       8139.95","       8164.95","       8042.05","       8071.30","       8070.25","       8088.42","     293890","          2377104613.00","      36115","      99509","         33.86"
"MARUTI","EQ","15-Sep-2017","       8070.25","       8076.95","       8119.10","       8043.50","       8099.00","       8099.75","       8092.26","     400099","          3237704045.35","      31988","     228565","         57.13"
"MARUTI","EQ","18-Sep-2017","       8099.75","       8130.70","       8185.00","       8130.70","       8168.00","       8157.85","       8160.00","     219992","          1795134282.25","      22767","     100409","         45.64"
"MARUTI","EQ","19-Sep-2017","       8157.85","       8178.00","       8184.95","       8124.45","       8143.90","       8131.70","       8155.04","     245577","          2002689705.50","      26708","     135456","         55.16"
"MARUTI","EQ","20-Sep-2017","       8131.70","       8164.40","       8164.40","       8109.10","       8118.50","       8120.15","       8124.92","     185837","          1509911111.25","      24416","      98768","         53.15"
"MARUTI","EQ","21-Sep-2017","       8120.15","       8101.00","       8170.90","       8075.10","       8170.00","       8144.95","       8120.19","     258168","          2096373370.40","      31776","     132281","         51.24"
"MARUTI","EQ","22-Sep-2017","       8144.95","       8145.00","       8175.50","       8050.00","       8058.00","       8068.20","       8101.02","     366359","          2967882620.75","      55761","     179857","         49.09"
"MARUTI","EQ","25-Sep-2017","       8068.20","       8074.00","       8089.00","       7855.05","       7978.15","       7964.95","       7929.98","     626129","          4965189872.65","      60944","     327164","         52.25"
"MARUTI","EQ","26-Sep-2017","       7964.95","       7980.00","       7980.05","       7869.10","       7879.00","       7889.90","       7910.53","     440508","          3484652885.95","      52873","     257433","         58.44"
"MARUTI","EQ","27-Sep-2017","       7889.90","       7949.00","       7978.00","       7715.00","       7735.00","       7739.95","       7831.68","     564788","          4423236344.65","      48920","     218687","         38.72"
"MARUTI","EQ","28-Sep-2017","       7739.95","       7735.10","       7920.00","       7651.00","       7902.30","       7897.35","       7820.87","     768225","          6008189951.05","      72357","     318837","         41.50"
"MARUTI","EQ","29-Sep-2017","       7897.35","       7960.00","       8007.80","       7925.00","       7984.00","       7978.20","       7970.25","     486217","          3875272090.20","      55603","     230262","         47.36"
"MARUTI","EQ","03-Oct-2017","       7978.20","       8055.35","       8069.05","       7855.00","       7867.15","       7888.30","       7911.91","     516298","          4084902733.95","      78087","     225861","         43.75"
"MARUTI","EQ","04-Oct-2017","       7888.30","       7894.00","       7933.90","       7830.60","       7838.00","       7847.20","       7883.88","     301347","          2375782274.15","      33581","     120614","         40.02"
"MARUTI","EQ","05-Oct-2017","       7847.20","       7836.00","       7901.00","       7807.20","       7832.00","       7831.05","       7850.97","     272177","          2136853487.95","      36700","      94712","         34.80"
"MARUTI","EQ","06-Oct-2017","       7831.05","       7864.95","       7919.00","       7845.05","       7906.90","       7903.20","       7882.20","     440453","          3471740181.75","      36002","     154233","         35.02"
"MARUTI","EQ","09-Oct-2017","       7903.20","       7909.00","       7957.00","       7866.70","       7891.20","       7896.70","       7906.04","     261839","          2070109977.90","      34666","     115479","         44.10"
"MARUTI","EQ","10-Oct-2017","       7896.70","       7890.50","       7934.90","       7885.30","       7886.00","       7893.70","       7909.70","     224485","          1775607927.20","      32869","     126536","         56.37"
"MARUTI","EQ","11-Oct-2017","       7893.70","       7892.00","       7898.85","       7801.00","       7830.00","       7825.15","       7837.28","     644166","          5048507647.45","      96296","     401237","         62.29"
"MARUTI","EQ","12-Oct-2017","       7825.15","       7845.00","       7918.00","       7830.00","       7897.85","       7904.25","       7878.22","     396436","          3123209690.05","      33477","     157885","         39.83"
"MARUTI","EQ","13-Oct-2017","       7904.25","       7900.00","       7940.00","       7860.05","       7872.00","       7874.15","       7885.25","     328108","          2587212307.20","      38728","     203901","         62.14"
